,name,url
0,Atlanticare Regional Medical Center ,https://www.atlanticare.org/patients-and-visitors/for-patients/billing-and-insurance/hospital-charge-list
1,Aurora Health Care Metro Inc. ,https://www.aurorahealthcare.org/patients-visitors/billing-payment/health-care-costs#Auroras-Standard-Charges
2,Baptist Health System (San Antonio) ,https://www.baptisthealthsystem.com/for-patients/insurance-billing/billing-insurance-questions
3,Baptist Hospital (Miami) ,https://baptisthealth.net/en/facilities/baptist-hospital-miami/pages/default.aspx
4,Baptist Medical Center (Jacksonville) ,https://www.baptistjax.com/patient-info/billing-and-insurance-information/patient-cost-estimate-request/gross-charges
5,Barnes Jewish Hospital ,https://www.bjc.org/For-Patients-Billing-Visitors/Financial-Assistance-Resources/BJC-Hospital-Standard-Charges
6,Brigham and Womens Hospital ,https://www.partners.org/for-patients/Patient-Billing-Financial-Assistance/Hospital-Charge-Listing.aspx
7,California Pacific Medical Center ,https://www.sutterhealth.org/cpmc/for-patients/health-care-costs-and-charges
8,California Pacific Medical Center R.K. Davies Medical Center ,https://www.sutterhealth.org/for-patients/health-care-costs-and-charges
9,Carolinas Medical Center ,https://atriumhealth.org/for-patients-visitors/financial-assistance
10,Cedars-Sinai Medical Center ,https://www.cedars-sinai.org/billing-insurance.html?_ga=2.134300401.1845895740.1546880925-1879661893.1546880925
11,Central Dupage Hospital ,https://www.nm.org/locations/central-dupage-hospital
12,Chippenham and Johnston-Willis Medical Center ,https://chippenhammed.com/about/legal/detail-price-list.dot
13,Cleveland Clinic Hospital ,https://my.clevelandclinic.org/patients/billing-insurance/patient-price-lists
14,Communityu Regional Medical Center ,https://www.communitymedical.org/for-patients-families/billing-and-insurance/Hospital-Standard-Charges
15,Cooper University Hospital ,https://www.cooperhealth.org/patients-visitors/financial-matters/chargemaster
16,Covenant Health System ,https://www.covenanthealth.org/patients-and-visitors/for-patients/billing-and-payments/pricing/
17,Crozer Chester Medical Center ,https://www.crozerkeystone.org/patients-visitors/patient-financial-resources/consumer-price-transparency/
18,Dallas County Hospital District ,http://www.dallascohospital.org/price-transparency.cfm
19,Doctors Medical Center of Modesto ,https://www.dmc-modesto.com/for-patients/insurance-financial-support/billing-insurance-questions
20,Duke University Hospital ,https://www.dukehealth.org/paying-for-care/what-duke-charges-services
21,Florida Hospital ,https://www.adventhealth.com/pricelist
22,Geisinger Medical Center ,https://www.geisinger.org/patient-care/patients-and-visitors/billing-and-insurance/tools-to-use/hospital-charge-list
23,Grady Memorial Hospital ,https://www.gradyhealth.org/billing-and-insurance/
24,Grossmont Hospital ,https://www.sharp.com/chargemaster/grossmont/
25,Hahnemann University Hospital ,https://www.hahnemannhospital.com/SitePages/For-Patients-and-Visitors/Insurance%20and%20Financial%20Support.aspx
26,Henry Ford Hospital ,https://www.henryford.com/visitors/billing/cost-of-care/hospital-standard-charges
27,Hospital of the University of Pennsylvania ,https://www.pennmedicine.org/for-patients-and-visitors/patient-information/insurance-and-billing/financial-transparency/financial-transparency-for-the-hospital-of-the-university-of-pennsylvania
28,Huntsville Hospital ,https://www.huntsvillehospital.org/price-transparency
29,Indiana University Health ,https://cdn.iuhealth.org/resources/2019-Charge-CMS-Transparency.txt?mtime=20181221134951
30,Jackson Memorial ,http://jacksonhealth.org/hb-221-hb-1175.asp#4
31,JFK Medical Center ,https://jfkmc.com/about/legal/detail-price-list.dot
32,Kennestone Hospital ,https://www.wellstar.org/about-us/policies-procedures/pages/wellstar-hospital-pricing-transparency.aspx
33,Las Palmas Medical Center ,https://laspalmasdelsolhealthcare.com/about/legal/detail-price-list.dot
34,Loma Linda University Medical Center ,https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
35,Long Island Jewish Medical Center ,https://www.northwell.edu/billing-and-insurance/price-transparency
