,description,charge
0,"17 HYDROXYPROGESTER, SER",641
1,24 HR URINE CHLORIDE,118
2,24 HR URINE COPPER,289
3,24 HR. URINE/CITRIC ACID,657
4,3-D TUMOR LOCAL,"5,000"
5,3D W/INTERP&POSTPROC-SAME WRKST,906
6,3D W/INTRP&POSTPROC-REQ.DIFF.WKST,"1,768"
7,"A-AUGMENTIN SUSP, 600MG/5ML",19
8,"ABACAVIR SOLN, 20 MG/ML (240ML",4
9,"ABACAVIR TAB, 300MG",57
10,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,171
11,"ABATACEPT, PER 10 MG, INJ (250MG)",266
12,"ABCIXIMAB INJ, 10MG/5ML","8,332"
13,ABD PARACENTESIS W/IMAGING,"2,758"
14,ABD PARACENTESIS W/O IMAGING GUID,"1,581"
15,ABD.ACUTE(SUP/ER-DECUB)W/1V CHEST,833
16,ABDOMEN RETROPERT COM,"2,126"
17,ABDOMEN RETROPERT LTD,"1,457"
18,ABDOMEN XRAY 1 VIEW,490
19,ABDOMEN XRAY 2 VIEWS,612
20,ABDOMEN XRAY 3 OR MORE VIEWS,719
21,"ABDOMEN,COMPLETE","2,125"
22,"ABDOMEN,LIMITED","1,689"
23,ABDOMEN-2 VIEWS,609
24,ABDOMEN-SINGLE AP,616
25,ABDOMINAL AORTOGRAPHY/RADIOL S&I,"4,949"
26,ABG ARTERIAL BLOOD GAS,338
27,ABLAT.PROBE HIPVAC 50IFS 72290004,"2,773"
28,ABLATE ARRHYTHMIA ADD ON-8246,"13,801"
29,ABLATION PROBE-CERTUS-LK/LN/PR/SR,"7,425"
30,"ABLATION, AVN","8,035"
31,"ABSORBABLE GELATIN FILM, (10X12.5","7,996"
32,A-C JOINTS BILAT,265
33,ACCOLADE C DISTAL SPACER 10596715,473
34,ACCULIF CAGE 6-9X11X34 305006,"32,926"
35,ACET REV SHELL 64MM 00700006420,"19,395"
36,ACET REV SYS CAGE RT 00713506254,"2,831"
37,ACET REV SYSTCROSSLINK00710506236,"10,695"
38,ACETAMINOPHEN 120MG SUPP,3
39,ACETAMINOPHEN 325MG SUPP,4
40,ACETAMINOPHEN 325MG TAB,0
41,ACETAMINOPHEN 325MG/10ML ELIX,20
42,ACETAMINOPHEN 500MG TAB,0
